date,close,open,high,low      
06/29/2022,11691.00,11680.50,11749.00,11564.50     
06/28/2022,11674.25,12076.25,12174.25,11661.50      
06/27/2022,12040.50,12137.50,12262.00,11994.25      
06/24/2022,12140.50,11687.75,12148.50,11684.75     
06/23/2022,11737.50,11542.75,11766.75,11460.50     
06/22/2022,11565.75,11579.75,11745.75,11320.50      
06/21/2022,11577.25,11332.50,11678.25,11273.75     
06/20/2022,11424.25,11428.00,11442.75,11274.50      
06/19/2022,11431.50,11307.75,11434.50,11307.75    
06/17/2022,11130.39,11178.50,11290.00,11130.25    
06/16/2022,11124.75,11608.50,11737.75,11036.75      
06/15/2022,11593.75,11329.75,11759.25,11327.75     
06/14/2022,11314.25,11334.25,11505.50,11205.00     
06/13/2022,11296.50,11768.00,11772.50,11254.50      
06/10/2022,11840.00,12301.50,12338.75,11823.00      
06/09/2022,12275.00,12625.00,12726.00,12255.25      
06/08/2022,12615.75,12680.50,12783.00,12579.25      
06/07/2022,12711.50,12605.25,12740.25,12412.50     
06/06/2022,12605.00,12549.75,12810.00,12527.00     
06/03/2022,12551.00,12896.00,12945.25,12503.00      
06/02/2022,12893.75,12549.75,12903.75,12442.50     
06/01/2022,12551.00,12662.50,12823.50,12454.75      
05/31/2022,12646.50,12705.25,12883.00,12480.00      
05/30/2022,12815.75,12736.75,12880.75,12720.75     
05/29/2022,12737.75,12713.25,12757.00,12673.00   
05/27/2022,12677.75,12250.00,12720.25,12222.00     
05/26/2022,12279.25,11887.50,12343.00,11848.25     
05/25/2022,11942.25,11808.00,12036.00,11672.00     
05/24/2022,11771.00,11915.00,11918.00,11576.25      
05/23/2022,12035.25,11866.00,12075.50,11783.75     
05/20/2022,11840.75,11898.00,12096.75,11491.25      
05/19/2022,11878.25,11907.00,12076.75,11704.00      
05/18/2022,11935.50,12572.00,12594.00,11862.75      
05/17/2022,12560.25,12235.50,12578.00,12234.00     
05/16/2022,12244.75,12409.00,12498.75,12190.25      
05/14/2022,12364.00,12364.00,12364.00,12364.00
05/13/2022,12382.75,11891.50,12432.00,11891.50     
05/12/2022,11947.25,12004.50,12132.75,11689.00      
05/11/2022,11969.75,12328.75,12553.25,11938.50      
05/10/2022,12349.00,12206.00,12547.00,12102.25     
05/09/2022,12193.75,12605.00,12637.25,12135.25      
05/07/2022,12663.50,12663.50,12663.50,12663.50
05/06/2022,12695.75,12883.25,12928.75,12519.00      
05/05/2022,12858.00,13500.25,13548.00,12705.25      
05/04/2022,13531.25,13121.00,13555.25,12883.00     
05/03/2022,13087.50,13051.75,13183.75,12968.50     
05/02/2022,13073.00,12892.25,13084.50,12709.75     
04/29/2022,12852.00,13219.50,13433.00,12831.75      
04/28/2022,13454.75,13191.00,13542.00,13033.00     
04/27/2022,13009.00,12881.00,13255.25,12878.25      
04/26/2022,13016.00,13523.50,13583.75,12801.50      
04/25/2022,13535.75,13334.25,13549.75,13184.00     
04/22/2022,13353.50,13720.00,13781.00,13297.00      
04/21/2022,13728.25,14070.00,14283.00,13667.50      
04/20/2022,14004.75,14104.75,14298.00,13956.50      
04/19/2022,14217.25,13962.75,14242.00,13828.00     
04/18/2022,13907.75,13892.00,14002.50,13729.50     
04/14/2022,13893.75,14211.50,14296.25,13876.50      
04/13/2022,14221.50,13952.75,14266.50,13921.00     
04/12/2022,13945.00,14006.25,14284.25,13881.25      
04/11/2022,14000.00,14345.00,14382.00,13984.75      
04/08/2022,14327.00,14536.25,14642.25,14310.50      
04/07/2022,14536.00,14496.25,14633.75,14317.00     
04/06/2022,14505.25,14861.00,14861.25,14394.75      
04/05/2022,14828.00,15155.50,15198.00,14780.25      
04/04/2022,15164.25,14846.00,15174.50,14801.00     
04/02/2022,14852.25,14852.25,14852.25,14852.20
04/01/2022,14863.75,14918.75,14960.00,14725.00      
03/31/2022,14868.75,15100.50,15180.75,14855.50      
03/30/2022,15071.50,15222.00,15262.25,15012.25      
03/29/2022,15237.75,14981.00,15268.75,14956.50     
03/28/2022,14985.25,14756.00,14997.00,14658.75     
03/25/2022,14755.75,14765.00,14840.50,14572.50      
03/24/2022,14763.75,14462.75,14769.75,14433.50     
03/23/2022,14447.00,14654.00,14682.25,14441.00      
03/22/2022,14654.00,14390.00,14690.75,14293.50     
03/21/2022,14370.50,14404.00,14466.75,14183.75      
03/20/2022,14404.50,14435.25,14435.25,14402.25   
03/18/2022,14095.31,14060.00,14081.50,13970.50    
03/17/2022,14111.75,13999.00,14136.25,13822.75     
03/16/2022,13953.00,13451.75,14029.25,13420.50     
03/15/2022,13451.75,13082.00,13489.00,12944.00     
03/14/2022,13045.50,13362.00,13447.50,13015.50      
03/11/2022,13292.00,13577.25,13860.75,13281.75      
03/10/2022,13586.00,13778.00,13778.00,13396.25      
03/09/2022,13734.75,13192.25,13821.75,13189.75     
03/08/2022,13267.00,13283.00,13666.00,13103.25      
03/07/2022,13320.75,13763.50,13879.75,13265.00      
03/04/2022,13839.75,14069.25,14086.50,13733.75      
03/03/2022,14030.50,14196.50,14391.00,13955.00      
03/02/2022,14239.25,14026.25,14290.00,13911.50     
03/01/2022,14005.50,14219.25,14327.75,13900.00      
02/28/2022,14228.00,13900.25,14292.25,13683.00     
02/25/2022,14180.50,13909.50,14196.25,13760.25     
02/24/2022,13966.50,13484.25,13983.25,13025.75   
02/23/2022,13507.50,13928.25,14068.75,13471.25      
02/22/2022,13862.75,13952.75,14157.50,13580.25   
02/21/2022,13679.50,13851.25,14156.25,13588.75      
02/20/2022,13852.25,13915.00,13951.50,13844.25     
02/18/2022,13996.00,14156.25,14299.00,13906.25      
02/17/2022,14164.75,14592.25,14619.50,14131.50      
02/16/2022,14600.00,14588.00,14668.50,14381.00      
02/15/2022,14609.50,14257.00,14614.75,14223.25     
02/14/2022,14253.00,14250.00,14394.00,14031.00     
02/11/2022,14240.50,14698.25,14766.75,14181.00      
02/10/2022,14701.00,15062.25,15062.25,14622.00      
02/09/2022,15038.25,14746.25,15068.00,14741.00     
02/08/2022,14734.50,14600.00,14776.00,14467.50     
02/07/2022,14559.75,14682.50,14806.25,14511.50      
02/04/2022,14685.50,14770.00,14825.75,14362.75     
02/03/2022,14492.25,14852.50,14870.00,14456.25      
02/02/2022,15114.50,15129.00,15260.00,14825.00     
02/01/2022,14994.75,14868.75,15137.00,14729.25     
01/31/2022,14905.00,14454.00,14914.75,14353.25     
01/28/2022,14433.00,14167.75,14442.00,13831.00     
01/27/2022,13986.75,14194.00,14409.25,13844.50      
01/26/2022,14158.50,13945.50,14639.75,13945.50     
01/25/2022,14140.75,14495.00,14499.00,13890.00      
01/24/2022,14501.00,14410.00,14582.00,13706.00   
01/21/2022,14426.50,14722.00,14858.50,14408.50    
01/20/2022,14841.00,15042.25,15340.25,14646.75      
01/19/2022,15033.50,15238.75,15372.00,15011.25      
01/18/2022,15206.00,15616.75,15653.25,15170.75      
01/17/2022,15587.50,15609.75,15629.00,15543.50     
01/16/2022,15583.00,15645.50,15645.50,15570.75    
01/14/2022,15595.75,15505.00,15621.00,15312.50     
01/13/2022,15490.25,15901.00,15979.75,15458.25      
01/12/2022,15887.25,15826.00,16009.25,15762.50     
01/11/2022,15831.00,15622.25,15839.50,15475.00     
01/10/2022,15608.00,15590.00,15669.00,15152.50     
01/07/2022,15581.00,15801.75,15852.75,15510.00      
01/06/2022,15759.00,15763.75,15895.75,15598.50      
01/05/2022,15766.50,16265.00,16269.00,15752.75      
01/04/2022,16275.75,16497.75,16564.00,16139.50      
01/03/2022,16485.50,16356.00,16508.00,16292.00     
12/31/2021,16320.75,16431.00,16464.00,16313.75      
12/30/2021,16430.25,16484.50,16567.50,16411.25      
12/29/2021,16490.50,16513.50,16564.25,16387.50     
12/28/2021,16488.00,16565.75,16659.50,16452.25      
12/27/2021,16560.00,16304.25,16580.75,16304.25     
12/23/2021,16299.00,16180.00,16356.00,16145.25     
12/22/2021,16169.75,15979.00,16183.00,15881.50     
12/21/2021,15980.00,15674.25,15987.25,15605.00     
12/20/2021,15621.25,15809.50,15851.75,15492.00      
12/17/2021,15717.32,15873.00,15902.00,15668.00    
12/16/2021,15870.50,16288.50,16459.25,15800.25      
12/15/2021,16288.00,15928.50,16302.50,15744.50     
12/14/2021,15924.75,16085.00,16133.75,15738.50      
12/13/2021,16082.00,16321.75,16411.25,16064.25      
12/10/2021,16329.75,16158.50,16335.75,16133.75     
12/09/2021,16148.75,16380.50,16420.00,16120.25      
12/08/2021,16392.25,16360.50,16436.75,16251.50     
12/07/2021,16318.00,15848.75,16374.50,15824.50     
12/06/2021,15842.75,15716.25,15897.25,15559.25     
12/04/2021,15687.50,15687.50,15687.50,15687.50
12/03/2021,15717.75,16020.00,16121.75,15538.00     
12/02/2021,15988.50,15891.75,16066.25,15762.75     
12/01/2021,15869.75,16238.75,16427.50,15825.25      
11/30/2021,16150.50,16419.00,16456.25,16068.75      
11/29/2021,16390.75,16046.50,16437.75,16038.00     
11/26/2021,16051.00,16360.00,16436.00,15988.00      
11/25/2021,16370.75,16392.25,16396.00,16359.50    
11/24/2021,16366.00,16300.25,16368.50,16102.00     
11/23/2021,16312.00,16399.00,16418.75,16118.50      
11/22/2021,16382.00,16600.25,16767.50,16364.50      
11/19/2021,16575.00,16503.25,16628.50,16490.25     
11/18/2021,16481.25,16322.50,16508.00,16303.50     
11/17/2021,16311.50,16297.75,16396.50,16270.00     
11/16/2021,16300.75,16198.50,16323.75,16142.00     
11/15/2021,16187.75,16212.25,16276.50,16082.25      
11/12/2021,16192.75,16043.75,16213.25,16001.75     
11/11/2021,16022.75,15989.00,16114.00,15976.00     
11/10/2021,15980.50,16201.25,16243.00,15896.50      
11/09/2021,16212.75,16315.50,16391.75,16160.00      
11/08/2021,16327.75,16293.00,16394.00,16256.00      
11/05/2021,16351.75,16335.00,16448.50,16292.00     
11/04/2021,16330.75,16129.50,16376.00,16129.50     
11/03/2021,16129.75,15957.75,16145.75,15935.25     
11/02/2021,15961.25,15891.00,15980.25,15849.50     
11/01/2021,15894.25,15885.25,15914.75,15768.50     
10/29/2021,15838.50,15679.75,15864.75,15595.50     
10/28/2021,15764.75,15595.00,15777.00,15591.75     
10/27/2021,15587.25,15532.25,15717.50,15507.25     
10/26/2021,15545.00,15543.00,15701.00,15503.00     
10/25/2021,15495.75,15324.25,15546.00,15295.75     
10/22/2021,15341.00,15383.00,15463.50,15273.75      
10/21/2021,15478.75,15357.50,15483.75,15301.00     
10/20/2021,15377.50,15411.00,15446.50,15319.00      
10/19/2021,15398.50,15289.75,15428.25,15269.00     
10/18/2021,15290.50,15145.00,15297.25,15038.75     
